Route,Mode,Infraction,Count
r10_town07_ins_ss,NPC,collisions_vehicle,2
r10_town07_ins_ss,No NPC,collisions_vehicle,2
r10_town07_ins_ss,No NPC,outside_route_lanes,1
r11_town05_ins_sl,NPC,collisions_layout,1
r11_town05_ins_sl,NPC,collisions_vehicle,1
r11_town05_ins_sl,NPC,outside_route_lanes,1
r11_town05_ins_sl,NPC,vehicle_blocked,1
r11_town05_ins_sl,No NPC,outside_route_lanes,1
r11_town05_ins_sl,No NPC,route_dev,1
r12_town06_ins_sl,NPC,collisions_vehicle,2
r12_town06_ins_sl,No NPC,collisions_vehicle,2
r13_town05_ins_sl,NPC,collisions_vehicle,1
r13_town05_ins_sl,NPC,outside_route_lanes,1
r13_town05_ins_sl,NPC,vehicle_blocked,1
r13_town05_ins_sl,No NPC,outside_route_lanes,1
r14_town07_ins_sl,NPC,collisions_vehicle,2
r14_town07_ins_sl,NPC,outside_route_lanes,1
r14_town07_ins_sl,No NPC,collisions_layout,1
r14_town07_ins_sl,No NPC,collisions_vehicle,2
r14_town07_ins_sl,No NPC,outside_route_lanes,1
r14_town07_ins_sl,No NPC,route_timeout,1
r15_town07_ins_sl,NPC,collisions_vehicle,2
r15_town07_ins_sl,No NPC,collisions_vehicle,2
r15_town07_ins_sl,No NPC,outside_route_lanes,1
r16_town05_ins_sl,NPC,collisions_vehicle,1
r16_town05_ins_sl,NPC,outside_route_lanes,1
r17_town05_ins_sr,NPC,collisions_layout,1
r17_town05_ins_sr,NPC,collisions_vehicle,1
r17_town05_ins_sr,No NPC,collisions_layout,3
r17_town05_ins_sr,No NPC,collisions_vehicle,3
r17_town05_ins_sr,No NPC,outside_route_lanes,1
r17_town05_ins_sr,No NPC,route_timeout,1
r18_town05_ins_sr,No NPC,collisions_vehicle,2
r18_town05_ins_sr,No NPC,outside_route_lanes,2
r19_town05_ins_sr,NPC,outside_route_lanes,1
r1_town05_ins_c,NPC,collisions_layout,3
r1_town05_ins_c,NPC,collisions_vehicle,3
r1_town05_ins_c,NPC,route_timeout,1
r1_town05_ins_c,NPC,vehicle_blocked,1
r1_town05_ins_c,No NPC,collisions_layout,3
r1_town05_ins_c,No NPC,collisions_vehicle,2
r1_town05_ins_c,No NPC,vehicle_blocked,2
r21_town07_ins_sr,NPC,collisions_vehicle,2
r21_town07_ins_sr,NPC,outside_route_lanes,2
r21_town07_ins_sr,No NPC,collisions_vehicle,2
r22_town07_ins_sr,NPC,collisions_layout,1
r22_town07_ins_sr,NPC,collisions_vehicle,5
r22_town07_ins_sr,NPC,outside_route_lanes,1
r22_town07_ins_sr,NPC,route_timeout,2
r22_town07_ins_sr,No NPC,collisions_layout,2
r22_town07_ins_sr,No NPC,collisions_vehicle,4
r22_town07_ins_sr,No NPC,route_timeout,2
r23_town05_ins_oppo,NPC,collisions_vehicle,3
r23_town05_ins_oppo,NPC,outside_route_lanes,1
r23_town05_ins_oppo,No NPC,collisions_vehicle,3
r23_town05_ins_oppo,No NPC,vehicle_blocked,2
r24_town05_ins_rl,NPC,collisions_vehicle,2
r24_town05_ins_rl,NPC,outside_route_lanes,1
r24_town05_ins_rl,No NPC,outside_route_lanes,2
r25_town05_ins_crosschange,NPC,collisions_vehicle,2
r25_town05_ins_crosschange,NPC,outside_route_lanes,1
r25_town05_ins_crosschange,No NPC,collisions_vehicle,2
r25_town05_ins_crosschange,No NPC,outside_route_lanes,1
r26_town05_ins_chaos,NPC,collisions_layout,1
r26_town05_ins_chaos,NPC,collisions_vehicle,21
r26_town05_ins_chaos,NPC,outside_route_lanes,3
r26_town05_ins_chaos,NPC,route_timeout,2
r26_town05_ins_chaos,No NPC,collisions_layout,1
r26_town05_ins_chaos,No NPC,collisions_vehicle,5
r26_town05_ins_chaos,No NPC,outside_route_lanes,3
r26_town05_ins_chaos,No NPC,route_timeout,2
r28_town06_hw_c,NPC,collisions_layout,4
r28_town06_hw_c,NPC,collisions_vehicle,22
r28_town06_hw_c,NPC,outside_route_lanes,2
r28_town06_hw_c,NPC,vehicle_blocked,3
r28_town06_hw_c,No NPC,collisions_layout,6
r28_town06_hw_c,No NPC,collisions_vehicle,23
r28_town06_hw_c,No NPC,outside_route_lanes,2
r28_town06_hw_c,No NPC,vehicle_blocked,4
r29_town06_hw_merge,NPC,collisions_vehicle,4
r29_town06_hw_merge,No NPC,collisions_vehicle,4
r2_town05_ins_c,NPC,collisions_layout,1
r2_town05_ins_c,NPC,collisions_vehicle,1
r2_town05_ins_c,NPC,vehicle_blocked,1
r2_town05_ins_c,No NPC,collisions_layout,2
r2_town05_ins_c,No NPC,collisions_vehicle,1
r2_town05_ins_c,No NPC,vehicle_blocked,1
r30_town06_hw_merge,NPC,collisions_layout,4
r30_town06_hw_merge,NPC,collisions_vehicle,8
r30_town06_hw_merge,NPC,route_timeout,2
r30_town06_hw_merge,No NPC,collisions_vehicle,2
r31_town05_ins_oppo,NPC,collisions_vehicle,8
r31_town05_ins_oppo,NPC,outside_route_lanes,3
r31_town05_ins_oppo,No NPC,collisions_layout,1
r31_town05_ins_oppo,No NPC,collisions_vehicle,8
r31_town05_ins_oppo,No NPC,outside_route_lanes,2
r31_town05_ins_oppo,No NPC,route_timeout,1
r32_town05_ins_oppo,NPC,collisions_layout,1
r32_town05_ins_oppo,NPC,collisions_vehicle,7
r32_town05_ins_oppo,NPC,outside_route_lanes,1
r32_town05_ins_oppo,NPC,route_timeout,1
r32_town05_ins_oppo,No NPC,collisions_vehicle,2
r32_town05_ins_oppo,No NPC,outside_route_lanes,1
r33_town05_ins_rl,NPC,collisions_vehicle,7
