scenario_id,scenario_name,status,note,town,route_count,updated_at,last_saved_at,path
1,1,pending,,Town05,6,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/1
10,10,pending,,Town05,8,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/10
2,2,pending,,Town05,6,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/2
3,3,pending,,Town05,9,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/3
4,4,pending,,Town05,11,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/4
5,5,pending,,Town05,8,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/5
6,6,pending,,Town05,6,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/6
7,7,pending,,Town05,9,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/7
8,8,pending,,Town05,9,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/8
9,9,pending,,Town05,11,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Blocked_Lane_Obstacle/9
