scenario_id,scenario_name,status,note,town,route_count,updated_at,last_saved_at,path
1,1,pending,,Town02,3,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/1
10,10,pending,,Town02,4,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/10
2,2,pending,,Town02,5,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/2
3,3,pending,,Town02,4,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/3
4,4,pending,,Town02,6,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/4
5,5,pending,,Town02,6,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/5
6,6,pending,,Town02,6,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/6
7,7,pending,,Town02,3,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/7
8,8,pending,,Town02,5,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/8
9,9,pending,,Town02,4,,,/data2/marco/CoLMDriver/scenarioset/llmgen/Major_Minor_Unsignalized_Entry/9
