scenario_id,scenario_name,status,note,town,route_count,updated_at,last_saved_at,path
A,A,rejected,,Town05,3,2026-04-20T23:22:04,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/A
B,B,approved,,Town05,5,2026-04-20T23:19:18,2026-04-20T23:19:18,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/B
C,C,approved,,Town05,6,2026-04-20T23:14:17,2026-04-20T23:14:14,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/C
D,D,approved,,Town05,6,2026-04-20T23:13:13,2026-04-20T23:13:13,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/D
E,E,approved,,Town05,3,2026-04-20T23:12:17,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/E
F,F,approved,,Town01,3,2026-04-20T22:57:37,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/F
G,G,approved,,Town05,3,2026-04-20T22:58:28,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/G
H,H,approved,,Town05,3,2026-04-20T23:00:29,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/H
I,I,approved,,Town06,3,2026-04-20T23:00:54,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/I
J,J,approved,,Town05,2,2026-04-20T23:09:26,2026-04-20T23:09:26,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/J
K,K,rejected,,Town01,2,2026-04-20T23:10:05,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/K
L,L,rejected,,Town02,2,2026-04-20T23:11:44,,/data2/marco/CoLMDriver/scenarioset/opencdascenarios/L
